"","ID","trait_measure_type","trait_measure_value","condition","prosocial_decisions"
"71",5,"empathy",1.29674802439829,"reciprocity",37
"72",6,"empathy",-0.486280509149359,"reciprocity",32
"73",7,"empathy",-1.19949192256842,"reciprocity",26
"74",8,"empathy",-0.84288621585889,"reciprocity",17
"75",9,"empathy",0.226930904269701,"reciprocity",23
"76",10,"empathy",-0.486280509149359,"reciprocity",33
"77",11,"empathy",1.65335373110782,"reciprocity",36
"78",12,"empathy",-0.129674802439829,"reciprocity",16
"79",13,"empathy",-0.84288621585889,"reciprocity",19
"80",14,"empathy",0.940142317688761,"reciprocity",38
"81",15,"empathy",1.65335373110782,"reciprocity",18
"82",16,"empathy",0.940142317688761,"reciprocity",34
"83",17,"empathy",-0.129674802439829,"reciprocity",37
"84",18,"empathy",0.583536610979231,"reciprocity",23
"85",19,"empathy",0.583536610979231,"reciprocity",29
"86",20,"empathy",-0.486280509149359,"reciprocity",21
"87",21,"empathy",-1.55609762927795,"reciprocity",18
"88",22,"empathy",0.226930904269701,"reciprocity",31
"89",23,"empathy",0.583536610979231,"reciprocity",32
"90",24,"empathy",0.226930904269701,"reciprocity",29
"91",25,"empathy",-0.486280509149359,"reciprocity",30
"92",26,"empathy",-2.26930904269701,"reciprocity",28
"93",27,"empathy",0.940142317688761,"reciprocity",21
"94",28,"empathy",-0.129674802439829,"reciprocity",31
"95",29,"empathy",0.226930904269701,"reciprocity",33
"96",30,"empathy",-0.486280509149359,"reciprocity",36
"97",31,"empathy",2.00995943781735,"reciprocity",30
"98",32,"empathy",-1.55609762927795,"reciprocity",30
"99",33,"empathy",0.583536610979231,"reciprocity",26
"100",1,"empathy",-1.19949192256842,"multi-motive",38
"101",2,"empathy",0.583536610979231,"multi-motive",36
"102",3,"empathy",-0.129674802439829,"multi-motive",14
"103",4,"empathy",-0.84288621585889,"multi-motive",28
"104",5,"empathy",1.29674802439829,"multi-motive",38
"105",6,"empathy",-0.486280509149359,"multi-motive",33
"106",7,"empathy",-1.19949192256842,"multi-motive",24
"107",8,"empathy",-0.84288621585889,"multi-motive",23
"108",9,"empathy",0.226930904269701,"multi-motive",22
"109",10,"empathy",-0.486280509149359,"multi-motive",29
"110",11,"empathy",1.65335373110782,"multi-motive",33
"111",12,"empathy",-0.129674802439829,"multi-motive",19
"112",13,"empathy",-0.84288621585889,"multi-motive",20
"113",14,"empathy",0.940142317688761,"multi-motive",38
"114",15,"empathy",1.65335373110782,"multi-motive",38
"115",16,"empathy",0.940142317688761,"multi-motive",29
"116",17,"empathy",-0.129674802439829,"multi-motive",36
"117",18,"empathy",0.583536610979231,"multi-motive",26
"118",19,"empathy",0.583536610979231,"multi-motive",27
"119",20,"empathy",-0.486280509149359,"multi-motive",20
"120",21,"empathy",-1.55609762927795,"multi-motive",20
"121",22,"empathy",0.226930904269701,"multi-motive",31
"122",23,"empathy",0.583536610979231,"multi-motive",31
"123",24,"empathy",0.226930904269701,"multi-motive",31
"124",25,"empathy",-0.486280509149359,"multi-motive",27
"125",26,"empathy",-2.26930904269701,"multi-motive",27
"126",27,"empathy",0.940142317688761,"multi-motive",31
"127",28,"empathy",-0.129674802439829,"multi-motive",38
"128",29,"empathy",0.226930904269701,"multi-motive",37
"129",30,"empathy",-0.486280509149359,"multi-motive",38
"130",31,"empathy",2.00995943781735,"multi-motive",37
"131",32,"empathy",-1.55609762927795,"multi-motive",30
"132",33,"empathy",0.583536610979231,"multi-motive",22
"133",1,"reciprocity",1.49096330874248,"baseline",21
"134",2,"reciprocity",-0.669115240996624,"baseline",28
"135",3,"reciprocity",-0.189097785499046,"baseline",19
"136",4,"reciprocity",0.530928397747321,"baseline",24
"137",5,"reciprocity",-0.189097785499046,"baseline",36
"138",6,"reciprocity",-0.429106513247835,"baseline",33
"139",7,"reciprocity",-1.62915015199178,"baseline",22
"140",8,"reciprocity",-0.909123968745414,"baseline",21
"141",9,"reciprocity",-0.189097785499046,"baseline",23
"142",10,"reciprocity",-0.189097785499046,"baseline",30
"143",11,"reciprocity",1.25095458099369,"baseline",32
"144",12,"reciprocity",-0.429106513247835,"baseline",16
"145",13,"reciprocity",-0.189097785499046,"baseline",19
"146",14,"reciprocity",1.25095458099369,"baseline",38
"147",15,"reciprocity",0.530928397747321,"baseline",36
"148",16,"reciprocity",1.0109458532449,"baseline",33
"149",17,"reciprocity",1.49096330874248,"baseline",28
"150",18,"reciprocity",-0.669115240996624,"baseline",14
"151",19,"reciprocity",0.530928397747321,"baseline",32
"152",20,"reciprocity",1.0109458532449,"baseline",21
"153",21,"reciprocity",-0.429106513247835,"baseline",19
"154",22,"reciprocity",-0.429106513247835,"baseline",31
"155",23,"reciprocity",1.49096330874248,"baseline",15
"156",24,"reciprocity",-0.189097785499046,"baseline",36
"157",25,"reciprocity",-1.62915015199178,"baseline",19
"158",26,"reciprocity",-2.10916760748936,"baseline",20
"159",27,"reciprocity",-0.909123968745414,"baseline",25
"160",28,"reciprocity",-1.62915015199178,"baseline",6
"161",29,"reciprocity",1.25095458099369,"baseline",33
"162",30,"reciprocity",0.290919669998533,"baseline",37
"163",31,"reciprocity",1.0109458532449,"baseline",33
"164",32,"reciprocity",0.530928397747321,"baseline",23
"165",33,"reciprocity",-0.669115240996624,"baseline",26
"166",1,"reciprocity",1.49096330874248,"empathy",37
"167",2,"reciprocity",-0.669115240996624,"empathy",28
"168",3,"reciprocity",-0.189097785499046,"empathy",18
"169",4,"reciprocity",0.530928397747321,"empathy",21
"170",5,"reciprocity",-0.189097785499046,"empathy",37
"171",6,"reciprocity",-0.429106513247835,"empathy",32
"172",7,"reciprocity",-1.62915015199178,"empathy",26
"173",8,"reciprocity",-0.909123968745414,"empathy",23
"174",9,"reciprocity",-0.189097785499046,"empathy",19
"175",10,"reciprocity",-0.189097785499046,"empathy",31
"176",11,"reciprocity",1.25095458099369,"empathy",27
"177",12,"reciprocity",-0.429106513247835,"empathy",20
"178",13,"reciprocity",-0.189097785499046,"empathy",20
"179",14,"reciprocity",1.25095458099369,"empathy",38
"180",15,"reciprocity",0.530928397747321,"empathy",38
"181",16,"reciprocity",1.0109458532449,"empathy",32
"182",17,"reciprocity",1.49096330874248,"empathy",27
"183",18,"reciprocity",-0.669115240996624,"empathy",24
"184",19,"reciprocity",0.530928397747321,"empathy",30
"185",20,"reciprocity",1.0109458532449,"empathy",24
"186",21,"reciprocity",-0.429106513247835,"empathy",18
"187",22,"reciprocity",-0.429106513247835,"empathy",33
"188",23,"reciprocity",1.49096330874248,"empathy",34
"189",24,"reciprocity",-0.189097785499046,"empathy",35
"190",25,"reciprocity",-1.62915015199178,"empathy",34
"191",26,"reciprocity",-2.10916760748936,"empathy",34
"192",27,"reciprocity",-0.909123968745414,"empathy",32
"193",28,"reciprocity",-1.62915015199178,"empathy",36
"194",29,"reciprocity",1.25095458099369,"empathy",34
"195",30,"reciprocity",0.290919669998533,"empathy",34
"196",31,"reciprocity",1.0109458532449,"empathy",36
"197",32,"reciprocity",0.530928397747321,"empathy",31
"198",33,"reciprocity",-0.669115240996624,"empathy",23
"199",1,"reciprocity",1.49096330874248,"reciprocity",38
"200",2,"reciprocity",-0.669115240996624,"reciprocity",25
"201",3,"reciprocity",-0.189097785499046,"reciprocity",13
"202",4,"reciprocity",0.530928397747321,"reciprocity",26
"203",5,"reciprocity",-0.189097785499046,"reciprocity",37
"204",6,"reciprocity",-0.429106513247835,"reciprocity",32
"205",7,"reciprocity",-1.62915015199178,"reciprocity",26
"206",8,"reciprocity",-0.909123968745414,"reciprocity",17
"207",9,"reciprocity",-0.189097785499046,"reciprocity",23
"208",10,"reciprocity",-0.189097785499046,"reciprocity",33
"209",11,"reciprocity",1.25095458099369,"reciprocity",36
"210",12,"reciprocity",-0.429106513247835,"reciprocity",16
"211",13,"reciprocity",-0.189097785499046,"reciprocity",19
"212",14,"reciprocity",1.25095458099369,"reciprocity",38
"213",15,"reciprocity",0.530928397747321,"reciprocity",18
"214",16,"reciprocity",1.0109458532449,"reciprocity",34
"215",17,"reciprocity",1.49096330874248,"reciprocity",37
"216",18,"reciprocity",-0.669115240996624,"reciprocity",23
"217",19,"reciprocity",0.530928397747321,"reciprocity",29
"218",20,"reciprocity",1.0109458532449,"reciprocity",21
"219",21,"reciprocity",-0.429106513247835,"reciprocity",18
"220",22,"reciprocity",-0.429106513247835,"reciprocity",31
"221",23,"reciprocity",1.49096330874248,"reciprocity",32
"222",24,"reciprocity",-0.189097785499046,"reciprocity",29
"223",25,"reciprocity",-1.62915015199178,"reciprocity",30
"224",26,"reciprocity",-2.10916760748936,"reciprocity",28
"225",27,"reciprocity",-0.909123968745414,"reciprocity",21
"226",28,"reciprocity",-1.62915015199178,"reciprocity",31
"227",29,"reciprocity",1.25095458099369,"reciprocity",33
"228",30,"reciprocity",0.290919669998533,"reciprocity",36
"229",31,"reciprocity",1.0109458532449,"reciprocity",30
"230",32,"reciprocity",0.530928397747321,"reciprocity",30
"231",33,"reciprocity",-0.669115240996624,"reciprocity",26
"232",1,"reciprocity",1.49096330874248,"multi-motive",38
"233",2,"reciprocity",-0.669115240996624,"multi-motive",36
"234",3,"reciprocity",-0.189097785499046,"multi-motive",14
"235",4,"reciprocity",0.530928397747321,"multi-motive",28
"236",5,"reciprocity",-0.189097785499046,"multi-motive",38
"237",6,"reciprocity",-0.429106513247835,"multi-motive",33
"238",7,"reciprocity",-1.62915015199178,"multi-motive",24
"239",8,"reciprocity",-0.909123968745414,"multi-motive",23
"240",9,"reciprocity",-0.189097785499046,"multi-motive",22
"241",10,"reciprocity",-0.189097785499046,"multi-motive",29
"242",11,"reciprocity",1.25095458099369,"multi-motive",33
"243",12,"reciprocity",-0.429106513247835,"multi-motive",19
"244",13,"reciprocity",-0.189097785499046,"multi-motive",20
"245",14,"reciprocity",1.25095458099369,"multi-motive",38
"246",15,"reciprocity",0.530928397747321,"multi-motive",38
"247",16,"reciprocity",1.0109458532449,"multi-motive",29
"248",17,"reciprocity",1.49096330874248,"multi-motive",36
"249",18,"reciprocity",-0.669115240996624,"multi-motive",26
"250",19,"reciprocity",0.530928397747321,"multi-motive",27
"251",20,"reciprocity",1.0109458532449,"multi-motive",20
"252",21,"reciprocity",-0.429106513247835,"multi-motive",20
"253",22,"reciprocity",-0.429106513247835,"multi-motive",31
"254",23,"reciprocity",1.49096330874248,"multi-motive",31
"255",24,"reciprocity",-0.189097785499046,"multi-motive",31
"256",25,"reciprocity",-1.62915015199178,"multi-motive",27
"257",26,"reciprocity",-2.10916760748936,"multi-motive",27
"258",27,"reciprocity",-0.909123968745414,"multi-motive",31
"259",28,"reciprocity",-1.62915015199178,"multi-motive",38
"260",29,"reciprocity",1.25095458099369,"multi-motive",37
"261",30,"reciprocity",0.290919669998533,"multi-motive",38
"262",31,"reciprocity",1.0109458532449,"multi-motive",37
"263",32,"reciprocity",0.530928397747321,"multi-motive",30
"264",33,"reciprocity",-0.669115240996624,"multi-motive",22
